name,gs_email,as_pc_chair,as_pc,as_session_chair,as_panelist,as_keynote_speaker,as_author,pc_chairs,pcs,session_chairs,panels,keynotes,papers,gender,country,sector
"Holmes, Adam",@cornell.edu,0,0,0,0,0,1,,,,,,MICRO,NA,us,edu
"Holmes, Dan",@epcc.ed.ac.uk,0,1,0,0,0,0,,CCGrid,,,,,M,uk,edu
"Holterbach, Thomas",,0,0,0,0,0,1,,,,,,SIGCOMM,NA,NA,NA
"Holvoet, Tom",@cs.kuleuven.be,0,1,0,0,0,0,,ICAC,,,,,M,be,edu
"Holz, Ralph",@sydney.edu.au,0,0,0,0,0,1,,,,,,IMC,NA,us,edu
"Holz, Thorsten",@rub.de,0,2,0,0,0,2,,"CCS,IMC",,,,"SP,NDSS",M,de,edu
"Holzinger, Philipp",,0,0,0,0,0,1,,,,,,SP,NA,NA,NA
"Homayoun, Houman",@gmu.edu,0,1,0,0,0,4,,IGSC,,,,"IISWC,IISWC,IISWC,IGSC",M,us,edu
"Homer, Michael",@ecs.vuw.ac.nz,0,1,0,0,0,0,,SLE,,,,,M,nz,edu
"Homsi, Soamar",@fiu.edu,0,0,0,0,0,1,,,,,,IGSC,NA,us,edu
"Honarmand, Nima",@cs.stonybrook.edu,0,1,0,0,0,1,,IPDPS,,,,CCS,M,us,edu
"Honda, Hiroaki",,0,0,0,0,0,1,,,,,,ICPP,M,NA,NA
"Honda, Michio",@sfc.wide.ad.jp,0,1,0,0,0,2,,ATC,,,,"SOCC,VEE",M,jp,edu
